job_name,job_region,job_company,job_company_type,job_company_financ,job_company_pernum,job_salary,job_experience,job_edu
视频抓取-Python工程师,北京 朝阳区 望京,一点资讯,移动互联网,D轮及以上,500-999人,20-38K,1-3年,硕士
Python开发工程师,北京 东城区 北新桥,松鼠拼拼,移动互联网,B轮,1000-9999人,20-40K·15薪,3-5年,本科
python,北京 海淀区 马连洼,滴滴出行,移动互联网,D轮及以上,1000-9999人,30-45K,5-10年,本科
Python,北京 海淀区 万寿路,BoringKillerLtd,移动互联网,天使轮,20-99人,20-25K,3-5年,本科
python,上海 浦东新区 金桥,软通动力,计算机软件,已上市,10000人以上,8-15K,1-3年,本科
python,上海  ,汉克时代,互联网,未融资,1000-9999人,13-17K,3-5年,本科
Python,上海 普陀区 真如,格略,咨询,未融资,20-99人,15-19K,5-10年,本科
资深Python工程师,上海 浦东新区 张江,传音控股,移动互联网,不需要融资,10000人以上,15-25K,3-5年,本科
python工程师,上海 浦东新区 世纪公园,大查柜,互联网,不需要融资,500-999人,10-12K,1年以内,大专
Python课程研发,上海  ,傲梦网络科技,在线教育,B轮,500-999人,8-12K,1-3年,本科
Python,上海 浦东新区 张江,斗象科技,信息安全,B轮,100-499人,15-30K,1-3年,大专
Python自动化测试,上海 浦东新区 金桥,软通动力,计算机软件,已上市,10000人以上,8-13K,1-3年,本科
python开发,上海 闵行区 老闵行,文思海辉,计算机软件,已上市,10000人以上,12-19K,1-3年,大专
Python编程教学,上海 浦东新区 联洋,乐博机器人,在线教育,不需要融资,1000-9999人,5-10K,经验不限,本科
Python工程师,上海 闵行区 梅陇,国民健康科技,数据服务,天使轮,100-499人,20-40K·15薪,3-5年,本科
Python 课程研发员,上海 长宁区 北新泾,傲梦网络科技,在线教育,B轮,500-999人,8-10K,1-3年,本科
Python,上海 静安区 汶水路,路诚,数据服务,未融资,20-99人,10-15K,3-5年,本科
Python Software Engineer,上海 长宁区 北新泾,新拓尼克科技(天...,通信/网络设备,未融资,500-999人,14-20K,3-5年,本科
python工程师,上海 闵行区 虹桥,易路软件,移动互联网,B轮,100-499人,15-20K,3-5年,本科
Python开发工程师,上海 杨浦区 五角场,今日头条,移动互联网,不需要融资,10000人以上,20-40K,3-5年,本科
Python实习,上海 杨浦区 五角场,上海刻契,企业服务,A轮,0-20人,3-4K,经验不限,学历不限
Python讲师,上海 浦东新区 航头,传智播客,在线教育,已上市,1000-9999人,20-40K,3-5年,大专
