job_name,job_company,job_region,job_exp,job_edu,job_salary,job_company_type,job_company_pernum
 算法工程师,上海博佳医药科技有限公司,上海-浦东新区,3-5年,本科,11K-18K,民营,20-99人
 web后端开发工程师,杭州宁本投资咨询有限公司,杭州,无经验,本科,8K-10K,民营,20-99人
工程师,武汉佰钧成技术有限责任公司,广州-越秀区,1-3年,本科,7K-10K,民营,1000-9999人
游戏研发工程师,北京凯奇谷信息技术股份有限公司,成都-高新区,3-5年,本科,10K-15K,上市公司,100-499人
开发（爬虫）助理,天津启航梦想企业孵化器有限公司,天津,无经验,学历不限,4K-6K,民营,20-99人
架构师/高级开发工程师 (MJ000395),北京乐学创想教育科技有限公司,北京-朝阳区,3-5年,本科,20K-35K,外商独资,1000-9999人
后端工程师,深圳市商汤科技有限公司,深圳-南山区,5-10年,本科,20K-40K,外商独资,1000-9999人
开发顾问,博垣信息技术（上海）有限公司,上海,1-3年,本科,15K-20K,合资,20-99人
高级开发工程师,圆通速递有限公司,杭州-余杭区,3-5年,本科,15K-20K,上市公司,10000人以上
C/,东软集团股份有限公司,广州-天河区,3-5年,本科,薪资面议,合资,10000人以上
开发工程师助理/python实习生,成都码邻蜀科技有限公司,成都-锦江区,经验不限,大专,4K-6K,民营,20-99人
开发工程师,天津开发区先特网络系统有限公司,天津,3-5年,本科,10K-20K,民营,100-499人
高级,北京众星智能科技有限责任公司,北京,3-5年,本科,15K-30K,民营,20-99人
后端,软通动力信息技术(集团)有限公司,深圳-南山区,1-3年,本科,9K-12K,股份制企业,10000人以上
货代公司系统开发,上海捷敏国际货物运输代理有限公司,上海,经验不限,本科,5K-10K,民营,20人以下
开发实习岗/包住,杭州擎码科技有限公司,杭州,无经验,本科,4K-6K,民营,20-99人
（AI人工智能）开发实习生,北京百知教育科技有限公司,广州,经验不限,大专,8K-16K,股份制企业,500-999人
全栈工程师,成都原子数据科技有限公司,成都,3-5年,本科,8K-16K,民营,20-99人
开发 管培生,天津云建科技有限公司,天津,1年以下,大专,6K-8K,民营,20-99人
课程设计,珺馨科技有限公司,北京,1-3年,本科,10K-15K,民营,20-99人
高级开发工程师（C++或,深圳证券通信有限公司,深圳,1-3年,本科,10K-16K,国企,500-999人
高级工程师,上海思贤信息技术股份有限公司,上海,3-5年,本科,15K-20K,股份制企业,20-99人
运维开发实习/双休/福利,杭州擎码科技有限公司,杭州,无经验,大专,4K-6K,民营,20-99人
人工智能开发助理,广州北珠联科技有限公司,广州,经验不限,大专,6K-8K,民营,不限
开发工程师,北京思特奇信息技术股份有限公司,成都-高新区,1-3年,本科,7K-12K,上市公司,1000-9999人
工程师,中科软科技股份有限公司,天津-南开区,经验不限,本科,7K-10K,股份制企业,1000-9999人
中高级开发工程师,乐飞天下信息技术(北京)有限公司,北京-朝阳区,5-10年,大专,15K-30K,民营,20-99人
后端,软通动力信息技术(集团)有限公司,深圳-南山区,3-5年,本科,9K-11K,股份制企业,10000人以上
后端工程师,上海旁清网络科技有限公司,上海,1-3年,本科,15K-25K,民营,20人以下
人工智能+五险一金,杭州宇曦网络科技有限公司,杭州,无经验,本科,4K-6K,民营,20-99人
人工智能开发实训生,广州北珠联科技有限公司,广州,经验不限,大专,6K-8K,民营,不限
高级研发工程师（Java&,成都西加云杉科技有限公司,成都,3-5年,本科,10K-15K,合资,100-499人
Perl/,恩梯梯数据(中国)信息技术有限公司,天津-南开区,3-5年,本科,6K-8K,合资,1000-9999人
中高级开发工程师,乐飞天下信息技术(北京)有限公司,北京,5-10年,大专,15K-30K,民营,20-99人
腾讯视频运维工作（高薪急招 熟悉Linux ,中软国际科技服务有限公司深圳分公司,深圳,1-3年,学历不限,薪资面议,上市公司,10000人以上
开发工程师,深圳市飞比电子科技有限公司,上海-浦东新区,经验不限,学历不限,15K-20K,民营,20-99人
开发工程师,杭州凡龙电子商务有限公司,杭州,3-5年,本科,10K-15K,民营,20-99人
后端开发工程师,益农控股(广东)有限公司,广州,经验不限,本科,8K-12K,民营,20-99人
实习（五险双休）,重庆且动科技有限公司,成都,经验不限,大专,4K-6K,民营,20-99人
工程师,北京奇虎科技有限公司,天津,3-5年,本科,薪资面议,上市公司,1000-9999人
讲师,北京马哥教育科技有限公司,北京,5-10年,大专,20K-30K,民营,100-499人
开发工程师,深圳市炫彩酷游科技有限公司,深圳,1-3年,本科,6K-10K,民营,20-99人
工程师,大连律铭科技有限公司,上海,3-5年,大专,10K-19K,民营,20-99人
人工智能实习+双休/可无经验,杭州凯发网络科技有限公司,杭州,无经验,大专,4K-6K,民营,20-99人
开发/软件开发,佛山市承林家具有限公司,广州,3-5年,本科,10K-15K,民营,1000-9999人
编程图书创作编辑,成都恒盛杰科技资讯有限公司,成都,经验不限,本科,4K-8K,民营,20-99人
高级,中科软科技股份有限公司,天津,1-3年,大专,8K-16K,股份制企业,1000-9999人
高级,北京奥德塔数据科技有限公司,北京,1-3年,本科,12K-18K,民营,20-99人
腾讯-APP后端开发，,中软国际科技服务有限公司深圳分公司,深圳,1-3年,本科,薪资面议,上市公司,10000人以上
 高级程序员,上海网元电子商务有限公司,上海,1-3年,本科,10K-15K,合资,20-99人
C++/,杭州金时资产管理有限公司,杭州,经验不限,本科,13K-26K,民营,20-99人
人工智能讲师,广州粤嵌通信科技股份有限公司,广州-萝岗区,1-3年,大专,15K-30K,上市公司,500-999人
高级工程师（成都）,深圳市云间网络科技有限公司,成都-武侯区,3-5年,大专,10K-15K,合资,20-99人
开发工程师岗（实习生）,天津长城滨银汽车金融有限公司,天津,无经验,本科,1K-2K,合资,100-499人
项目经理,北京八维研修学院,北京,3-5年,大专,20K-30K,民营,1000-9999人
高级,深圳市客路网络科技有限公司,深圳,3-5年,本科,15K-30K,外商独资,1000-9999人
 & Machine Learning 工程师,上海捷办网络技术有限公司,上海,3-5年,本科,15K-20K,外商独资,20-99人
开发,视联动力信息技术股份有限公司,杭州-江干区,1年以下,本科,6K-10K,民营,1000-9999人
 ,广州粤嵌通信科技股份有限公司,广州-黄埔区,经验不限,本科,15K-20K,上市公司,500-999人
开发实习生,北京欣如信科技有限公司,成都,经验不限,大专,4K-6K,股份制企业,500-999人
 Java  专职培训讲师,天津市东方瑞通职业培训学校,天津-南开区,1-3年,本科,6K-8K,民营,100-499人
高级讲师,北京优思安科技有限公司,北京,5-10年,本科,20K-30K,民营,100-499人
,上海太尧企业管理中心(有限合伙),深圳-龙华新区,经验不限,本科,20K-30K,合资,100-499人
开发（人工智能方向）,上海舟恩信息技术有限公司,上海,1-3年,大专,9K-11K,民营,20-99人
开发(杭州! 杭州! 杭州!),视联动力信息技术股份有限公司,杭州-江干区,1年以下,本科,8K-10K,民营,1000-9999人
开发（双休·包吃·接受19本科）,深圳市德科信息技术有限公司广州分公司,广州,经验不限,本科,8K-15K,股份制企业,1000-9999人
中级,成都路行通信息技术有限公司,成都-高新区,3-5年,本科,8K-12K,民营,1000-9999人
+人工智能讲师,大连东软睿道教育信息服务有限公司,天津-东丽区,经验不限,本科,10K-15K,上市公司,1000-9999人
/C++研发工程师,北京东土科技股份有限公司,北京-石景山区,3-5年,本科,20K-40K,民营,100-499人
开发工程师（a）,深圳市云拓信息科技有限公司,深圳,经验不限,大专,6K-8K,民营,100-499人
/C++/C# 软件开发工程师,上海金柳投资管理有限公司,上海,经验不限,本科,8K-10K,民营,20人以下
杭州,视联动力信息技术股份有限公司,杭州-江干区,1年以下,本科,8K-15K,民营,1000-9999人
青少年,广州粤嵌通信科技股份有限公司,广州-黄埔区,1-3年,本科,5K-8K,上市公司,500-999人
开发助理+双休,北京欣如信科技有限公司,成都,经验不限,学历不限,4K-6K,股份制企业,500-999人
开发（爬虫）助理,天津星光场文化传播有限公司,天津,无经验,学历不限,4K-6K,民营,100-499人
金融数据工程师,北京亿动华源科技发展有限责任公司,北京-昌平区,1-3年,硕士,15K-20K,民营,20-99人
急聘：,深圳市云拓信息科技有限公司,深圳,经验不限,大专,6K-8K,民营,100-499人
量化分析师（基金研究方向）,上海国时智能科技有限公司,上海,3-5年,本科,8K-12K,民营,20-99人
IT培训讲师,中公教育浙江分公司,杭州,经验不限,本科,6K-12K,民营,10000人以上
数据库,深圳市德科信息技术有限公司广州分公司,广州-天河区,1-3年,本科,8K-10K,股份制企业,1000-9999人
后端开发,北京欣如信科技有限公司,成都,经验不限,学历不限,4K-6K,股份制企业,500-999人
开发（初级）,鱼鹰(天津)供应链管理有限公司,天津-滨海新区,1-3年,大专,4K-6K,民营,20-99人
开发工程师,北京汇游科技有限公司,北京,3-5年,本科,15K-20K,民营,20-99人
招兵买马：,深圳市云拓信息科技有限公司,深圳,经验不限,大专,6K-8K,民营,100-499人
开发实习生,上海蜗兴科技有限公司,上海,1-3年,大专,4K-6K,民营,20-99人
诚聘,杭州凌聚网络科技有限公司,杭州,经验不限,学历不限,4K-6K,民营,100-499人
开发工程师（广州）,深圳市源极光科技有限公司,广州-萝岗区,1-3年,大专,8K-15K,民营,20-99人
软件开发实习生,北京欣如信科技有限公司,成都,经验不限,大专,6K-8K,股份制企业,500-999人
 研发工程师,浙江远传信息技术股份有限公司,天津-东丽区,3-5年,本科,15K-20K,民营,500-999人
 高级工程师（爬虫方向）,北京金惠新悦科技有限公司,北京,3-5年,本科,12K-18K,民营,100-499人
初级开发工程师,深圳市云拓信息科技有限公司,深圳,经验不限,大专,6K-8K,民营,100-499人
开发,深圳市网新新思软件有限公司,上海-浦东新区,3-5年,本科,12K-18K,上市公司,1000-9999人
IT助理讲师,中公教育浙江分公司,杭州-下城区,经验不限,本科,6K-12K,民营,10000人以上
少儿编程老师（Scratch、,广州学码教育科技有限公司,广州-天河区,经验不限,本科,8K-10K,民营,100-499人
研发工程师(实习生) (2000-3000),北京欣如信科技有限公司,成都-武侯区,经验不限,大专,2K-4K,股份制企业,500-999人
工程师,天津卓朗科技发展有限公司,天津,1-3年,本科,8K-12K,国企,100-499人
讲师,北京创新乐知网络技术有限公司,北京,3-5年,本科,15K-30K,民营,100-499人
爬虫工程师(欢迎优秀人士加入),深圳市云拓信息科技有限公司,深圳,经验不限,大专,6K-8K,民营,100-499人
工程师,苏州科技城,上海-徐汇区,3-5年,本科,薪资面议,其它,100-499人
运维开发 ,杭州凌聚网络科技有限公司,杭州,无经验,学历不限,3K-5K,民营,100-499人
开发工程师（广州-海珠区）,深圳市芒柠科技有限公司,广州-海珠区,1-3年,大专,8K-12K,民营,20-99人
急招,北京欣如信科技有限公司,成都,经验不限,大专,4K-6K,股份制企业,500-999人
