Python开发工程师（深圳宝安区）,广州金达通信息科技有限公司,深圳,2年经验,大专,0.8-1万/月
算法工程师 python,广州尚礼坊,广州-海珠区,3-4年经验,本科,0.5-1.5万/月
Python开发工程师,深圳市玄羽科技有限公司,深圳-龙华新区,1年经验,本科,1-1.5万/月
Python 讲师,江苏万和系统工程有限公司,南京-雨花台区,1年经验,本科,1.2-2万/月
Python工程师,宁波齐配汽车零部件有限公司,宁波-江北区,1年经验,大专,0.3-1万/月
python讲师（六险一金+双休）,北京金信润天信息技术股份有限公司武汉分公司,武汉-洪山区,2年经验,本科,0.8-1.5万/月
Python开发工程师,北京嘉连勤科技有限公司,深圳-南山区,2年经验,大专,0.8-1.5万/月
Python 实习生,大宇宙信息创造（中国）有限公司,苏州-工业园区,无工作经验,大专,3-5千/月
Python开发（量化策略）,上海财浪投资管理有限公司,上海-浦东新区,3-4年经验,本科,0.8-1.5万/月
Python开发工程师,苏州东湾信息科技有限公司,苏州-工业园区,无工作经验,招3人,0.8-1.5万/月
Python后端工程,武汉深捷科技股份有限公司,武汉-江岸区,无工作经验,招若干人,0.6-1万/月
Python开发工程师,湖北百旺金赋科技有限公司,武汉-东湖新技术产业开发区,1年经验,本科,6-8千/月
python高级研发工程师,壹沓科技（上海）有限公司,上海-静安区,3-4年经验,本科,1.5-2.8万/月
高级Python/C++研发工程师,青岛艾德软件有限公司,青岛-黄岛区,3-4年经验,本科,1.2-1.5万/月
python软件开发工程师,武汉芯云道数据科技有限公司,武汉-东西湖区,1年经验,招若干人,10-15万/年
Python工程师,上海乐言信息科技有限公司,上海-长宁区,3-4年经验,招2人,2-4万/月
自动化实施（shell/python）,北京中亦安图科技股份有限公司,上海,1年经验,本科,1-1.5万/月
高级Python开发工程师（机器学习方向）,瓦戈科技（上海）有限公司,上海-浦东新区,3-4年经验,本科,1.5-2.5万/月
爬虫工程师（python）,福建省大司空信息科技有限公司重庆分公司,重庆-渝北区,1年经验,本科,6-9.6千/月
Python高级开发工程师,上海彩虹鱼海洋科技股份有限公司,上海-徐汇区,2年经验,本科,0.6-3万/月
Python开发工程师,杭州汇萃智能科技有限公司,杭州-余杭区,2年经验,本科,1-1.5万/月
Python或java项目经理及学徒,邵阳市中正网络传媒有限责任公司,邵阳,5-7年经验,招1人,1-1.5万/月
Python/Lua软件开发工程师,长沙千视电子科技有限公司,长沙,无工作经验,招3人,6-8千/月
Python工程师/数据工程师,康美中药材数据信息服务有限公司,深圳-福田区,2年经验,本科,1.5-3万/月
Python开发工程师,上学啦（深圳）科技有限公司,深圳-宝安区,1年经验,大专,0.8-1万/月
Python讲师,武汉尚云客网络技术有限公司,武汉-洪山区,2年经验,本科,1-1.5万/月
少儿编程讲师（Scratch，Python，C++）,上海小码王,上海-徐汇区,无工作经验,本科,0.8-1.5万/月
Python软件工程师,武汉华大国家数字化学习工程技术有限公司,武汉,2年经验,本科,0.9-1.5万/月
Python 开发工程师,南阳市奇观信息技术有限责任公司,南阳,2年经验,大专,4.5-6千/月
运维开发/Python开发工程师,深圳市心云科技有限公司,广州-天河区,2年经验,本科,1-2万/月
python 工程师,广西通玄科技有限公司,南宁,3-4年经验,招2人,6-8千/月
Python高级开发工程师,络鬓科技（上海）有限公司,上海-静安区,无工作经验,招1人,1.5-2.5万/月
Python老师,郑州市华人职业培训学校,郑州-金水区,无工作经验,招2人,4-8千/月
数据开发工程师（python爬虫方向）,创业伞投资有限公司,上海-杨浦区,无工作经验,招5人,0.7-1.3万/月
技术支持工程师（Python软件运维）,北京普瑞亿科科技有限公司,北京-海淀区,无工作经验,本科,6-8千/月
BI运维工程师,数云信息技术（上海）有限公司,上海,2年经验,大专,1-1.5万/月
自动化测试工程师,上海测开教育科技有限公司,杭州,无工作经验,招2人,1.3-1.6万/月
软件测试实习生,威胜集团有限公司,长沙-岳麓区,无工作经验,本科,2-4千/月
数据挖掘工程师,广州奇异果科技有限公司,广州-海珠区,无工作经验,招1人,2-5万/月
运维工程师,溢米辅导-中小学在线1对1,上海-徐汇区,3-4年经验,本科,1.5-2万/月
日语优秀者免费培训JAVA,大连华小讯科技有限公司,大连-高新园区,无工作经验,招10人,1.5千以下/月
BI工程师（大数据方向）,上海寸心创意科技有限公司,上海-浦东新区,3-4年经验,本科,1.5-2万/月
AI人工智能研发工程师,中电科信息产业有限公司,郑州-郑东新区,2年经验,硕士,1.2-1.6万/月
数据分析工程师,上海航动科技有限公司,上海-徐汇区,2年经验,大专,0.8-1.2万/月
Web前端开发工程师,汇智众通（深圳）科技文化产业有限公司,深圳-南山区,2年经验,大专,4-6千/月
软件测试工程师,广东优力普物联科技有限公司,东莞-松山湖区,2年经验,大专,1-1.5万/月
高频量化策略研究员,上海中贸投资有限公司,上海-普陀区,3-4年经验,硕士,2.5-5万/月
大数据开发工程师,郑州软通合力计算机技术有限公司,郑州-二七区,无工作经验,招2人,0.9-1.3万/月
测试工程师(职位编号：WL304),网络通信与安全紫金山实验室,南京-江宁区,2年经验,硕士,
AI算法 (MJ000696),浙江企朋网络技术股份有限公司,杭州-西湖区,3-4年经验,招1人,2.5-4万/月
软件测试工程师,国能日新科技股份有限公司,武汉-江汉区,3-4年经验,本科,6-8千/月
自动化测试工程师,广州天源信息科技股份有限公司,广州,2年经验,本科,0.8-1.5万/月
金融量化分析 岗,上海玛瑙数据科技有限公司,上海-浦东新区,无工作经验,本科,0.6-1万/月
深度学习工程师（模型优化方面）,广东星舆科技有限公司,广州-天河区,1年经验,本科,1.5-2万/月
PHP开发工程师,有数盒子成都科技有限公司,成都-高新区,5-7年经验,大专,1-1.5万/月
